Date,Open,High,Low,Close,Volume
16-May-13,423.24,437.85,418.90,434.58,21552354
15-May-13,439.16,441.00,422.36,428.85,26486155
14-May-13,453.85,455.20,442.15,443.86,15968420
13-May-13,451.51,457.90,451.50,454.74,11325330
10-May-13,457.97,459.71,450.48,452.97,11958926
9-May-13,459.81,463.00,455.58,456.77,14241068
8-May-13,459.04,465.37,455.81,463.84,16878434
7-May-13,464.97,465.75,453.70,458.66,17276868
6-May-13,455.71,462.20,454.31,460.71,17737166
3-May-13,451.31,453.23,449.15,449.98,12911684
2-May-13,441.78,448.59,440.63,445.52,15072312
1-May-13,444.46,444.93,434.39,439.29,18112671
30-Apr-13,435.10,445.25,432.07,442.78,24697766
29-Apr-13,420.45,433.62,420.00,430.12,22868730
26-Apr-13,409.81,418.77,408.25,417.20,27295570
25-Apr-13,411.22,413.94,407.00,408.38,13744165
24-Apr-13,393.54,415.25,392.50,405.46,34636913
23-Apr-13,403.99,408.38,398.81,406.13,23722707
22-Apr-13,392.64,402.20,391.28,398.67,15354206
19-Apr-13,387.97,399.60,385.10,390.53,21759743
18-Apr-13,404.99,405.79,389.74,392.05,23796309
17-Apr-13,420.27,420.60,398.11,402.80,33751923
16-Apr-13,421.57,426.61,420.57,426.24,10920394
15-Apr-13,427.00,427.89,419.55,419.85,11339958
12-Apr-13,434.15,434.15,429.09,429.80,8525897
11-Apr-13,433.72,437.99,431.20,434.33,11736299
10-Apr-13,428.10,437.06,426.01,435.69,13425964
9-Apr-13,426.36,428.50,422.75,426.98,10955445
8-Apr-13,424.85,427.50,422.49,426.21,10752106
5-Apr-13,424.50,424.95,419.68,423.20,13703354
4-Apr-13,433.76,435.00,425.25,427.72,12809234
3-Apr-13,431.37,437.28,430.31,431.99,12971961
2-Apr-13,427.60,438.14,426.40,429.79,18920462
1-Apr-13,441.90,443.70,427.74,428.91,13918927
28-Mar-13,449.82,451.82,441.62,442.66,15820798
27-Mar-13,456.46,456.80,450.73,452.08,11836042
26-Mar-13,465.44,465.84,460.53,461.14,10510489
25-Mar-13,464.69,469.95,461.78,463.58,17897634
22-Mar-13,454.58,462.10,453.11,461.91,14110873
21-Mar-13,450.22,457.98,450.10,452.73,13687630
20-Mar-13,457.42,457.63,449.59,452.08,11023594
19-Mar-13,459.50,460.97,448.50,454.49,18813330
18-Mar-13,441.45,457.46,441.20,455.72,21649870
15-Mar-13,437.93,444.23,437.25,443.66,22998541
14-Mar-13,432.83,434.64,430.45,432.50,10852678
13-Mar-13,428.45,434.50,425.36,428.35,14493456
12-Mar-13,435.60,438.88,427.57,428.43,16639639
11-Mar-13,429.75,439.01,425.14,437.87,16936908
8-Mar-13,429.80,435.43,428.61,431.72,13985569
7-Mar-13,424.50,432.01,421.06,430.58,16731118
6-Mar-13,434.51,435.25,424.43,425.66,16437467
5-Mar-13,421.48,435.19,420.75,431.14,22801006
4-Mar-13,427.80,428.20,419.00,420.05,20812057
1-Mar-13,438.00,438.18,429.98,430.47,19730256
28-Feb-13,444.05,447.87,441.40,441.40,11518391
27-Feb-13,448.43,452.44,440.65,444.57,20976704
26-Feb-13,443.82,451.54,437.66,448.97,17910582
25-Feb-13,453.85,455.12,442.57,442.80,13306352
22-Feb-13,449.25,451.60,446.60,450.81,11809092
21-Feb-13,446.00,449.17,442.82,446.06,15970740
20-Feb-13,457.69,457.69,448.80,448.85,17010698
19-Feb-13,461.10,462.73,453.85,459.99,15563459
15-Feb-13,468.85,470.16,459.92,460.16,13997311
14-Feb-13,464.52,471.64,464.02,466.59,12696643
13-Feb-13,467.21,473.64,463.22,467.01,16971603
12-Feb-13,479.51,482.38,467.74,467.90,21751816
11-Feb-13,476.50,484.94,473.25,479.93,18479788
8-Feb-13,474.00,478.81,468.25,474.98,22612712
7-Feb-13,463.25,470.00,454.12,468.22,25163582
6-Feb-13,456.47,466.50,452.58,457.35,21203716
5-Feb-13,444.05,459.74,442.22,457.84,20476648
4-Feb-13,453.91,455.94,442.00,442.32,17039822
1-Feb-13,459.11,459.48,448.35,453.62,19266727
31-Jan-13,456.98,459.28,454.98,455.49,11404745
30-Jan-13,457.00,462.60,454.50,456.83,14898331
29-Jan-13,458.50,460.20,452.12,458.27,20395431
28-Jan-13,437.82,453.21,435.86,449.83,28054133
25-Jan-13,451.69,456.23,435.00,439.88,43141929
24-Jan-13,460.00,465.73,450.25,450.50,52173279
23-Jan-13,508.81,514.99,504.77,514.00,30767979
22-Jan-13,504.56,507.88,496.63,504.77,16483739
18-Jan-13,498.52,502.22,496.40,500.00,16898181
17-Jan-13,510.31,510.75,502.03,502.68,16201797
16-Jan-13,494.64,509.44,492.50,506.09,24671435
15-Jan-13,498.30,498.99,483.38,485.92,31313276
14-Jan-13,502.68,507.50,498.51,501.75,26220628
11-Jan-13,521.00,525.32,519.02,520.30,12526963
10-Jan-13,528.55,528.72,515.52,523.51,21469328
9-Jan-13,522.50,525.01,515.99,517.10,14557137
8-Jan-13,529.21,531.89,521.25,525.31,16382393
7-Jan-13,522.00,529.30,515.20,523.90,17291168
