Date,Open,High,Low,Close,Volume
16-May-13,71.85,71.88,70.84,71.40,1819197
15-May-13,71.27,71.95,71.07,71.93,2180800
14-May-13,72.55,73.49,71.86,73.31,3103309
13-May-13,72.01,72.45,71.09,72.08,1984624
10-May-13,71.41,72.36,71.38,71.84,2330640
9-May-13,70.87,71.09,70.40,71.07,873197
8-May-13,70.90,71.37,70.33,71.03,1721713
7-May-13,71.33,72.08,70.91,70.98,1694368
6-May-13,71.97,72.20,71.13,71.33,989178
3-May-13,70.52,72.19,70.01,72.12,2129704
2-May-13,70.70,72.20,69.94,70.74,3011882
30-Apr-13,70.28,70.79,69.60,70.05,1637370
29-Apr-13,68.81,69.99,68.62,69.86,1568487
26-Apr-13,68.60,69.29,67.67,68.62,1524785
25-Apr-13,67.99,69.23,67.63,68.89,1626319
24-Apr-13,66.50,68.20,66.35,67.84,2325262
23-Apr-13,65.00,66.85,64.34,66.78,2446173
22-Apr-13,65.12,66.17,64.78,65.24,1928576
19-Apr-13,64.31,65.21,63.91,64.84,2618329
18-Apr-13,65.09,65.13,63.27,63.93,2147021
17-Apr-13,67.34,67.39,64.59,65.00,2983725
16-Apr-13,66.15,67.73,65.67,66.86,1626339
15-Apr-13,67.48,67.51,65.88,66.44,1659154
12-Apr-13,68.63,68.77,66.98,67.40,2031612
11-Apr-13,68.10,69.48,67.86,69.03,1889763
10-Apr-13,65.99,68.07,65.76,67.95,2163077
9-Apr-13,66.46,66.79,65.52,65.90,1673707
8-Apr-13,66.60,66.69,65.69,66.30,1372505
5-Apr-13,67.59,68.03,65.58,66.31,2087464
4-Apr-13,68.70,68.98,67.21,67.57,1730482
3-Apr-13,68.45,69.21,68.18,68.39,1469838
2-Apr-13,67.41,68.40,66.32,68.35,2175298
28-Mar-13,68.97,69.10,66.88,67.31,2657631
27-Mar-13,70.26,70.33,68.60,69.10,1738713
26-Mar-13,70.13,70.30,69.34,69.81,1502627
25-Mar-13,70.27,70.90,69.31,69.75,1716196
22-Mar-13,69.16,70.42,68.79,69.59,1497609
21-Mar-13,69.83,69.93,68.50,69.36,2646699
20-Mar-13,70.30,70.30,69.04,70.15,2148542
19-Mar-13,69.81,71.85,68.58,69.07,3185411
18-Mar-13,68.96,70.36,68.55,70.19,1584596
15-Mar-13,71.06,71.07,69.41,70.00,4029880
14-Mar-13,71.87,71.99,69.70,70.94,2805546
13-Mar-13,71.73,71.75,70.68,71.27,1674850
12-Mar-13,72.47,72.74,71.79,72.00,1135101
11-Mar-13,72.73,73.00,72.38,72.56,984141
8-Mar-13,72.59,73.10,71.89,72.65,1694965
7-Mar-13,71.97,72.28,71.57,72.02,1320415
6-Mar-13,71.64,72.30,71.54,71.60,1503437
5-Mar-13,70.44,71.70,70.21,71.41,1966063
4-Mar-13,68.82,70.04,68.05,69.40,1510626
1-Mar-13,70.70,71.17,68.03,69.20,2202823
28-Feb-13,70.77,70.87,70.00,70.70,1555604
27-Feb-13,69.97,70.45,68.86,70.32,1919743
26-Feb-13,69.14,70.58,68.91,69.46,2264463
25-Feb-13,69.24,71.60,69.15,70.58,2810780
22-Feb-13,69.41,70.12,68.07,68.79,2783226
21-Feb-13,70.30,70.30,68.64,69.06,2327628
20-Feb-13,71.82,71.95,70.60,70.76,1485880
19-Feb-13,71.08,71.90,70.79,71.79,1926065
18-Feb-13,70.79,71.49,70.65,71.37,951551
15-Feb-13,71.88,72.10,71.40,71.65,1461517
14-Feb-13,72.15,72.72,71.40,71.68,1353896
13-Feb-13,71.82,72.71,71.28,72.15,1189974
12-Feb-13,71.73,72.13,71.09,71.52,1347531
11-Feb-13,73.26,73.53,71.76,72.07,1291026
8-Feb-13,72.05,73.50,71.89,73.50,1310537
7-Feb-13,71.62,72.58,71.35,71.74,1635556
6-Feb-13,72.13,72.92,70.97,71.77,1477268
5-Feb-13,71.63,72.20,70.05,71.86,1972099
4-Feb-13,74.78,74.79,72.03,72.03,2057850
1-Feb-13,74.24,75.37,73.85,74.48,1837169
31-Jan-13,74.85,74.85,73.68,74.15,1997021
30-Jan-13,75.52,75.60,74.51,74.91,1163550
29-Jan-13,75.40,75.66,74.92,75.58,1173346
28-Jan-13,76.00,76.16,75.41,75.50,1074180
25-Jan-13,74.52,75.85,74.06,75.85,1454972
24-Jan-13,74.34,74.70,73.69,74.63,975244
23-Jan-13,74.22,74.91,73.95,74.34,1028652
22-Jan-13,74.00,74.26,72.76,74.16,1554942
21-Jan-13,73.52,74.28,73.00,74.28,856386
18-Jan-13,74.38,74.55,73.11,73.33,1555616
17-Jan-13,72.98,74.30,72.72,74.06,1380526
16-Jan-13,72.10,73.21,71.84,73.10,1166401
15-Jan-13,73.11,73.64,72.28,72.48,1549660
14-Jan-13,73.10,73.88,72.59,73.22,2005640
11-Jan-13,72.00,73.22,71.64,73.22,1701070
10-Jan-13,72.11,73.83,72.11,72.89,1828257
9-Jan-13,72.93,73.95,71.60,72.16,2283158
8-Jan-13,75.36,75.80,73.06,73.21,2291326
7-Jan-13,75.64,75.88,74.91,75.75,1288665
4-Jan-13,75.66,75.96,74.89,75.80,1136437
3-Jan-13,75.73,76.05,74.74,75.61,1519799
2-Jan-13,74.90,76.16,74.70,75.93,2354195
28-Dec-12,73.51,74.00,72.93,72.93,907064
27-Dec-12,72.85,73.83,72.80,73.46,1169029
21-Dec-12,71.61,72.85,71.60,72.70,3394220
20-Dec-12,71.50,72.26,71.32,72.17,1340299
19-Dec-12,72.19,72.19,71.20,72.02,1470066
18-Dec-12,71.95,72.09,71.47,72.00,1341593
17-Dec-12,71.73,72.19,71.27,71.68,1388846
14-Dec-12,70.90,71.89,70.80,71.73,1616826
13-Dec-12,71.09,71.23,70.28,70.79,1775714
12-Dec-12,70.59,71.13,70.19,70.98,1775357
11-Dec-12,69.50,70.64,69.27,70.59,1872903
10-Dec-12,68.77,69.43,68.48,69.33,1260540
7-Dec-12,68.77,69.19,68.00,69.04,1797971
6-Dec-12,68.26,68.84,68.10,68.66,2036459
5-Dec-12,68.39,68.77,67.72,67.93,1769418
4-Dec-12,67.89,68.71,67.51,67.69,1275525
3-Dec-12,68.46,68.56,67.78,67.90,1477337
30-Nov-12,67.86,68.59,67.66,68.19,1670749
29-Nov-12,67.61,68.33,67.44,67.91,2398452
28-Nov-12,67.00,67.45,66.28,67.04,2107702
27-Nov-12,66.41,66.80,65.95,66.56,1192986
26-Nov-12,65.49,66.65,65.32,66.23,1412289
23-Nov-12,65.72,65.99,65.23,65.78,1726763
22-Nov-12,66.37,66.94,65.62,65.66,2121691
21-Nov-12,65.64,66.96,65.60,66.14,2134231
20-Nov-12,64.76,65.91,64.56,65.70,2237194
19-Nov-12,62.60,65.31,62.50,65.11,2945851
16-Nov-12,62.62,63.10,61.57,61.99,2534722
15-Nov-12,62.69,63.21,62.32,62.60,1871914
14-Nov-12,63.58,63.93,62.90,63.23,1287355
13-Nov-12,63.36,63.89,62.57,63.62,2108502
12-Nov-12,64.15,64.28,63.32,63.66,1663716
9-Nov-12,63.93,64.78,63.44,64.23,2757947
8-Nov-12,65.01,65.35,63.40,63.69,2661144
7-Nov-12,64.40,66.28,64.07,64.42,4166853
6-Nov-12,64.40,65.01,62.80,64.05,3523496
5-Nov-12,64.55,65.24,63.98,64.49,2254136
2-Nov-12,63.64,65.29,63.51,65.00,3497619
1-Nov-12,61.75,63.52,61.66,63.32,2491800
31-Oct-12,61.59,62.70,61.42,61.45,2338039
30-Oct-12,60.78,61.51,60.62,61.51,1265519
29-Oct-12,60.81,60.97,60.01,60.49,1099654
26-Oct-12,59.85,60.97,59.61,60.97,1864159
25-Oct-12,60.01,60.92,59.57,60.34,2122482
24-Oct-12,60.53,60.80,59.22,60.35,2571781
23-Oct-12,61.71,61.79,60.19,60.46,2409075
22-Oct-12,62.08,62.12,61.14,61.48,2074603
19-Oct-12,62.60,63.68,61.93,62.01,4718607
18-Oct-12,61.66,62.29,61.01,62.04,2384064
17-Oct-12,61.10,61.81,60.01,61.66,2894007
16-Oct-12,60.83,61.15,59.76,60.99,2134124
15-Oct-12,60.29,60.95,60.12,60.46,1425627
12-Oct-12,60.90,61.85,60.40,60.40,1790762
11-Oct-12,59.16,61.06,59.04,60.84,2598530
10-Oct-12,59.93,60.17,59.14,59.55,1776235
9-Oct-12,60.40,60.83,59.76,59.99,1932972
8-Oct-12,60.64,60.66,60.02,60.05,1495949
5-Oct-12,60.19,61.24,60.07,60.99,2662377
4-Oct-12,58.25,60.03,58.18,59.96,2370400
3-Oct-12,57.58,58.49,57.41,57.91,1691947
2-Oct-12,56.84,58.47,56.52,57.73,1967027
1-Oct-12,56.85,57.73,56.51,57.14,2332284
28-Sep-12,58.13,58.23,56.91,56.91,2052855
27-Sep-12,57.64,58.02,57.29,57.64,2439550
26-Sep-12,57.80,57.98,57.40,57.62,2807224
25-Sep-12,59.36,59.36,57.84,58.81,2545599
24-Sep-12,59.41,59.83,58.90,59.64,1438130
21-Sep-12,59.80,59.90,58.91,59.79,4522674
20-Sep-12,60.57,60.65,58.67,59.44,4531868
19-Sep-12,60.85,61.39,60.06,61.19,1987198
18-Sep-12,61.10,61.31,59.85,60.45,2408995
17-Sep-12,61.86,62.30,61.38,61.69,1663747
14-Sep-12,61.43,62.49,61.31,62.00,3471899
13-Sep-12,60.81,60.88,59.64,59.97,2379819
12-Sep-12,59.65,61.11,59.29,60.56,3343294
11-Sep-12,58.21,59.57,58.05,59.38,2126791
10-Sep-12,57.93,58.79,57.76,58.53,1994554
7-Sep-12,57.90,58.63,57.37,58.03,3195831
6-Sep-12,55.20,57.23,55.04,57.23,4238427
5-Sep-12,54.72,55.35,54.35,55.05,3727446
4-Sep-12,57.14,57.41,54.95,55.39,3406526
3-Sep-12,57.23,57.77,56.72,57.15,1715284
31-Aug-12,57.35,58.17,56.94,57.66,2895763
30-Aug-12,59.45,59.50,57.20,57.35,3839263
29-Aug-12,60.50,60.58,59.58,60.21,1385564
28-Aug-12,60.34,60.54,59.84,60.53,1314107
27-Aug-12,59.80,60.88,59.56,60.77,1267798
24-Aug-12,60.55,60.71,59.24,60.05,2188408
23-Aug-12,61.77,61.95,60.33,60.81,2287012
22-Aug-12,61.33,61.41,60.36,61.39,1785112
21-Aug-12,61.46,61.92,61.19,61.64,1981514
20-Aug-12,61.51,62.04,60.89,61.22,1664962
