Date,Open,High,Low,Close,Volume
16-May-13,36.74,36.82,36.31,36.43,31502
15-May-13,36.25,36.90,35.91,36.87,32223
14-May-13,36.06,36.24,35.30,36.17,64566
13-May-13,36.13,36.50,35.18,36.10,59907
10-May-13,36.93,37.15,36.06,36.35,53807
9-May-13,36.79,37.20,36.70,36.99,12825
8-May-13,37.05,37.39,36.50,36.73,58522
7-May-13,36.55,37.43,36.55,37.21,80000
6-May-13,36.52,37.00,36.42,36.70,49648
3-May-13,35.74,36.68,35.68,36.49,84120
2-May-13,34.85,36.00,34.67,35.80,121715
30-Apr-13,33.68,35.53,33.52,34.89,199233
29-Apr-13,32.46,33.16,31.60,33.11,102051
26-Apr-13,32.65,32.75,31.99,32.38,30790
25-Apr-13,32.52,32.96,32.25,32.83,20389
24-Apr-13,31.80,32.56,31.65,32.30,45152
23-Apr-13,30.27,31.75,30.18,31.66,40271
22-Apr-13,30.25,30.71,30.00,30.31,26123
19-Apr-13,29.60,30.23,29.59,30.00,40221
18-Apr-13,30.40,30.86,29.37,29.57,78865
17-Apr-13,31.23,31.30,30.07,30.36,46253
16-Apr-13,30.94,31.70,30.75,31.19,33325
15-Apr-13,31.33,31.54,30.68,30.96,13498
12-Apr-13,32.25,32.26,31.17,31.40,22346
11-Apr-13,32.40,32.65,31.90,32.27,39111
10-Apr-13,31.23,32.57,31.05,32.36,47115
9-Apr-13,30.42,31.22,30.42,31.17,25271
8-Apr-13,30.49,30.65,30.08,30.23,14922
5-Apr-13,30.50,30.78,29.88,30.32,33108
4-Apr-13,30.73,31.38,30.30,30.34,34094
3-Apr-13,31.35,31.38,30.70,30.70,21210
2-Apr-13,30.50,31.50,29.98,31.40,47170
28-Mar-13,30.53,31.05,30.39,30.50,34861
27-Mar-13,31.28,31.41,29.95,30.61,91525
26-Mar-13,31.57,31.77,31.15,31.34,36830
25-Mar-13,33.47,33.53,31.10,31.52,88692
22-Mar-13,32.61,32.90,32.16,32.38,19131
21-Mar-13,32.48,33.07,32.40,32.58,29831
20-Mar-13,32.28,32.94,31.98,32.55,52686
19-Mar-13,33.47,33.47,31.86,32.25,73845
18-Mar-13,33.00,33.60,32.85,33.56,54050
15-Mar-13,34.45,34.53,34.00,34.10,14827
14-Mar-13,33.79,34.59,33.79,34.22,31349
13-Mar-13,34.18,34.18,33.42,33.83,22060
12-Mar-13,34.15,34.62,34.00,34.02,23510
11-Mar-13,34.59,34.65,33.78,34.14,20362
8-Mar-13,34.07,34.92,34.07,34.70,38630
7-Mar-13,34.03,34.09,33.69,34.03,32897
6-Mar-13,34.20,34.56,33.80,33.99,37728
5-Mar-13,33.50,34.33,33.46,34.14,52333
4-Mar-13,33.29,33.52,32.88,33.30,30988
1-Mar-13,34.50,34.64,32.93,33.60,88711
28-Feb-13,35.16,35.54,34.81,35.30,97312
27-Feb-13,34.64,35.10,33.95,34.96,49067
26-Feb-13,35.00,35.10,34.18,34.60,132046
25-Feb-13,35.50,37.15,35.20,35.27,110587
22-Feb-13,35.00,35.56,34.79,35.43,33832
21-Feb-13,35.97,35.97,34.62,34.85,60756
20-Feb-13,36.60,36.70,36.13,36.14,21123
19-Feb-13,36.06,36.70,35.94,36.49,19039
18-Feb-13,35.85,36.10,35.49,36.00,27352
15-Feb-13,36.26,36.49,35.66,35.83,24596
14-Feb-13,36.74,36.90,35.97,36.30,36718
13-Feb-13,37.05,37.15,36.51,36.70,41043
12-Feb-13,36.40,37.20,35.97,37.20,36168
11-Feb-13,36.83,37.06,36.40,36.47,13776
8-Feb-13,36.55,37.00,36.35,36.88,27168
7-Feb-13,37.06,37.30,36.41,36.68,37643
6-Feb-13,37.80,38.11,36.87,37.00,31596
5-Feb-13,37.12,38.20,36.97,37.72,41634
4-Feb-13,38.59,38.59,36.91,37.10,104391
1-Feb-13,38.51,38.69,38.10,38.55,119397
31-Jan-13,35.89,38.50,35.89,37.98,333659
30-Jan-13,36.83,37.86,36.60,37.11,88643
29-Jan-13,36.96,37.11,36.38,36.88,32563
28-Jan-13,36.73,37.24,36.28,37.01,47659
25-Jan-13,36.20,36.77,36.05,36.63,28458
24-Jan-13,35.46,36.42,34.75,36.05,42671
23-Jan-13,36.15,36.22,35.35,35.50,40927
22-Jan-13,36.59,36.60,35.24,36.20,55720
21-Jan-13,36.70,36.95,36.56,36.56,23466
18-Jan-13,36.68,37.00,36.42,36.80,27027
17-Jan-13,36.52,37.04,36.45,36.63,25082
16-Jan-13,36.70,36.85,35.84,36.57,51485
15-Jan-13,36.84,37.08,36.28,36.80,38108
14-Jan-13,37.30,37.78,36.70,36.86,109096
11-Jan-13,37.35,37.47,36.54,37.17,61502
10-Jan-13,36.51,37.87,36.51,37.25,126626
9-Jan-13,36.40,36.90,36.30,36.48,45940
8-Jan-13,35.72,36.61,35.39,36.13,121843
7-Jan-13,34.97,36.42,34.91,35.63,168305
4-Jan-13,34.51,34.79,34.31,34.68,50095
3-Jan-13,34.20,34.60,34.04,34.55,37432
2-Jan-13,33.45,34.40,33.45,34.27,91076
28-Dec-12,33.20,33.40,32.75,33.01,29540
27-Dec-12,32.76,33.77,32.75,33.11,43395
21-Dec-12,33.00,33.28,32.50,33.03,77326
20-Dec-12,33.50,33.63,33.33,33.54,37905
19-Dec-12,33.41,33.93,33.25,33.71,59087
18-Dec-12,32.80,33.40,32.73,33.31,67499
17-Dec-12,32.48,32.88,32.27,32.62,98415
14-Dec-12,32.96,33.25,32.14,32.62,113458
13-Dec-12,34.03,34.30,33.13,33.16,86129
12-Dec-12,34.26,34.77,33.97,34.45,79338
11-Dec-12,34.10,34.40,33.63,34.23,26889
10-Dec-12,34.46,34.46,33.47,34.15,39519
7-Dec-12,35.00,35.10,34.36,34.56,27780
6-Dec-12,35.04,35.46,34.28,35.04,83707
5-Dec-12,34.75,35.33,34.72,35.20,46780
4-Dec-12,33.90,34.65,33.88,34.41,41691
3-Dec-12,33.97,34.61,33.80,33.80,49699
30-Nov-12,33.67,34.21,33.67,33.94,32358
29-Nov-12,33.60,33.92,33.45,33.87,38094
28-Nov-12,33.67,33.67,32.56,33.26,56564
27-Nov-12,33.55,34.30,33.54,33.86,72855
26-Nov-12,33.56,33.70,33.09,33.30,27738
23-Nov-12,33.34,33.80,33.01,33.80,28127
22-Nov-12,32.99,33.46,32.96,33.33,23970
21-Nov-12,33.07,33.17,32.78,33.00,30045
20-Nov-12,33.60,33.70,32.54,33.13,42137
19-Nov-12,32.55,33.85,32.55,33.78,41100
16-Nov-12,33.31,33.49,32.19,32.50,61647
15-Nov-12,32.80,33.66,32.76,33.53,53496
14-Nov-12,33.90,34.50,33.10,33.16,47572
13-Nov-12,33.29,34.18,33.10,33.90,27910
12-Nov-12,33.80,33.80,32.99,33.50,37902
9-Nov-12,34.22,34.30,32.58,33.35,55462
8-Nov-12,34.63,34.74,34.10,34.17,27477
7-Nov-12,36.05,36.38,34.28,34.59,80938
6-Nov-12,35.20,36.16,35.10,36.04,76089
5-Nov-12,35.31,35.32,34.81,35.15,52292
2-Nov-12,35.86,35.93,35.39,35.39,63851
1-Nov-12,35.05,35.99,34.95,35.85,67820
31-Oct-12,34.75,35.56,34.73,35.05,69624
30-Oct-12,33.80,34.80,33.80,34.66,70650
29-Oct-12,33.50,33.70,33.04,33.51,26416
26-Oct-12,33.15,33.80,32.94,33.79,27854
25-Oct-12,33.50,34.22,33.17,33.56,36218
24-Oct-12,33.73,33.79,32.88,33.50,43685
23-Oct-12,34.65,34.85,33.26,33.63,86020
22-Oct-12,34.20,35.04,34.20,34.50,76360
19-Oct-12,35.44,35.58,34.20,34.20,100627
18-Oct-12,34.85,35.85,34.66,35.44,157563
17-Oct-12,34.49,35.00,34.40,34.91,116379
16-Oct-12,33.21,34.58,33.21,34.40,148847
15-Oct-12,32.55,33.15,32.46,33.06,43260
12-Oct-12,32.95,33.64,32.38,32.45,88173
11-Oct-12,31.72,33.25,31.72,32.90,77790
10-Oct-12,31.59,32.25,31.54,31.72,24004
9-Oct-12,32.11,32.24,31.56,31.76,29377
8-Oct-12,32.35,32.55,31.99,32.14,43245
5-Oct-12,32.50,32.99,32.38,32.60,32737
4-Oct-12,32.49,32.68,32.12,32.50,44470
3-Oct-12,31.48,32.40,31.43,32.30,30209
2-Oct-12,31.23,32.24,31.18,31.48,46827
1-Oct-12,30.51,31.61,30.51,31.41,36290
28-Sep-12,31.50,31.56,30.73,30.92,46476
27-Sep-12,30.92,31.46,30.44,31.46,55204
26-Sep-12,32.30,32.30,30.57,30.80,122747
25-Sep-12,32.90,32.90,32.20,32.39,44533
24-Sep-12,32.80,32.85,32.32,32.66,56335
21-Sep-12,32.75,33.48,32.49,32.96,64437
20-Sep-12,32.67,32.86,31.81,32.52,75705
19-Sep-12,32.75,33.07,32.08,32.91,81455
18-Sep-12,33.94,33.94,32.33,32.50,106096
17-Sep-12,33.30,34.12,33.30,34.00,272957
14-Sep-12,33.10,33.93,33.00,33.68,221148
13-Sep-12,33.00,33.13,32.03,32.80,139178
12-Sep-12,33.17,33.89,32.70,32.85,223527
11-Sep-12,31.42,33.16,31.39,33.16,179488
10-Sep-12,31.25,32.57,31.20,31.74,123913
7-Sep-12,29.66,31.90,29.66,31.35,249121
6-Sep-12,28.18,29.80,28.06,29.71,181808
5-Sep-12,27.70,28.08,27.29,27.78,20909
4-Sep-12,28.32,28.38,27.62,27.65,41868
3-Sep-12,28.15,28.44,27.95,28.28,47831
31-Aug-12,26.96,28.51,26.96,28.11,80795
30-Aug-12,27.33,27.51,26.82,26.92,34246
29-Aug-12,27.37,27.55,27.20,27.40,18062
28-Aug-12,27.61,27.70,27.24,27.32,50326
27-Aug-12,27.22,28.29,27.12,27.89,56284
24-Aug-12,27.35,27.44,26.76,27.38,64074
23-Aug-12,27.85,28.24,27.25,27.25,57920
22-Aug-12,27.25,27.91,27.05,27.49,104563
21-Aug-12,26.35,27.81,26.35,27.38,105927
20-Aug-12,26.28,26.77,26.04,26.31,124237
17-Aug-12,25.93,26.76,25.80,26.58,80446
16-Aug-12,25.12,26.00,24.93,25.97,36629
15-Aug-12,25.11,25.19,24.89,25.05,17293
14-Aug-12,25.11,25.37,24.99,25.10,27171
13-Aug-12,25.30,25.56,24.88,25.04,34043
10-Aug-12,25.59,25.59,25.30,25.34,17698
9-Aug-12,25.62,25.93,25.30,25.63,70107
8-Aug-12,25.49,25.62,25.18,25.54,39463
7-Aug-12,25.32,25.71,24.91,25.64,78370
6-Aug-12,25.30,25.54,24.77,25.28,87282
3-Aug-12,23.36,25.30,23.25,25.21,91090
2-Aug-12,24.50,25.01,23.09,23.20,165075
1-Aug-12,24.84,25.08,24.40,24.59,44736
31-Jul-12,25.00,25.87,24.36,24.80,100467
30-Jul-12,24.70,25.38,24.53,24.67,91257
27-Jul-12,23.58,25.02,23.21,25.02,92292
26-Jul-12,22.62,23.70,22.15,23.55,98775
25-Jul-12,23.11,23.22,22.22,22.67,150390
24-Jul-12,23.51,24.06,23.12,23.14,69231
23-Jul-12,24.45,24.49,23.28,23.74,114126
20-Jul-12,25.68,25.68,24.61,24.75,81699
19-Jul-12,25.81,25.92,25.30,25.70,94065
18-Jul-12,25.21,25.80,24.60,25.70,64283
17-Jul-12,25.70,25.70,24.89,25.32,70403
16-Jul-12,25.90,26.02,25.20,25.53,60714
13-Jul-12,26.28,26.36,25.31,25.70,62274
12-Jul-12,0.00,0.00,25.74,26.15,65842
11-Jul-12,26.70,27.19,26.55,26.83,35896
10-Jul-12,27.13,27.70,26.64,26.80,52361
9-Jul-12,27.50,27.57,26.97,27.17,51189
6-Jul-12,28.51,28.83,27.32,27.38,56240
5-Jul-12,29.12,29.71,28.46,28.85,48783
4-Jul-12,29.62,29.62,28.79,29.26,38853
3-Jul-12,29.15,29.65,29.04,29.58,55537
2-Jul-12,28.47,29.21,28.26,29.05,58300
29-Jun-12,27.80,28.65,27.63,28.47,96436
28-Jun-12,28.26,28.30,26.66,26.80,59282
27-Jun-12,27.66,28.40,27.58,28.30,28354
26-Jun-12,27.50,27.86,27.28,27.62,21895
25-Jun-12,28.57,28.57,27.19,27.37,57087
22-Jun-12,28.40,29.15,28.22,28.60,30097
21-Jun-12,28.70,29.53,28.50,28.59,65357
20-Jun-12,28.65,29.24,28.50,29.05,38759
19-Jun-12,28.18,28.80,27.50,28.72,46541
18-Jun-12,29.35,29.51,27.98,28.17,79075
15-Jun-12,27.95,28.80,27.95,28.80,68285
14-Jun-12,28.01,28.26,27.29,27.75,40390
13-Jun-12,28.20,28.50,27.78,28.16,21017
12-Jun-12,28.16,28.62,27.68,28.16,28659
11-Jun-12,29.65,29.90,28.30,28.31,74607
8-Jun-12,28.26,28.74,27.92,28.61,28745
7-Jun-12,29.00,29.38,28.37,28.84,74141
6-Jun-12,27.90,28.55,27.35,28.40,39691
5-Jun-12,27.61,27.75,26.99,27.55,56038
4-Jun-12,26.79,28.11,26.52,27.25,102804
1-Jun-12,28.45,28.45,27.01,27.05,80679
31-May-12,28.78,29.30,28.69,29.11,66379
30-May-12,29.01,29.41,28.58,28.95,38432
29-May-12,29.21,29.51,28.75,29.15,25323
28-May-12,29.60,29.86,29.00,29.11,20470
25-May-12,29.00,29.71,28.82,29.30,71805
24-May-12,29.17,29.29,28.58,28.88,29387
23-May-12,29.05,29.29,28.65,28.95,41570
22-May-12,29.45,29.76,28.65,29.58,41619
21-May-12,28.42,29.05,28.42,28.95,30602
18-May-12,27.71,29.32,27.71,28.50,57956
