Date,Open,High,Low,Close,Volume
16-May-13,37.60,38.50,37.50,38.20,184576
15-May-13,37.55,37.80,37.42,37.72,180711
14-May-13,37.03,37.55,36.98,37.50,205858
13-May-13,36.88,37.25,36.84,37.10,144191
10-May-13,36.87,37.29,36.74,36.88,163578
9-May-13,36.79,37.12,36.68,36.92,149785
8-May-13,34.72,37.20,34.64,37.05,435382
7-May-13,34.66,35.00,34.25,34.35,135388
6-May-13,34.39,34.92,34.37,34.92,74147
3-May-13,34.05,34.48,33.84,34.29,96470
2-May-13,34.17,34.30,33.32,33.89,91639
30-Apr-13,34.00,34.55,33.68,34.30,130112
29-Apr-13,33.65,34.00,33.60,34.00,103869
26-Apr-13,33.74,33.98,33.40,33.60,69578
25-Apr-13,33.25,33.76,32.84,33.63,89144
24-Apr-13,32.75,33.32,32.60,33.22,79685
23-Apr-13,32.13,32.86,31.80,32.64,67436
22-Apr-13,32.33,32.81,31.85,32.03,89602
19-Apr-13,32.54,33.10,32.18,32.24,118885
18-Apr-13,32.06,32.66,31.67,32.30,137365
17-Apr-13,33.24,33.44,31.86,32.10,185072
16-Apr-13,33.39,33.40,32.15,32.98,166197
15-Apr-13,33.24,33.88,32.87,33.48,152697
12-Apr-13,34.20,34.20,33.10,33.22,156466
11-Apr-13,32.45,34.59,32.38,34.01,335229
10-Apr-13,31.00,32.22,30.88,32.18,153581
9-Apr-13,31.35,31.57,30.72,31.00,129602
8-Apr-13,30.94,31.56,30.88,31.09,108296
5-Apr-13,31.90,31.96,30.46,31.10,247145
4-Apr-13,32.28,32.28,31.40,31.86,398125
3-Apr-13,33.34,34.16,33.22,33.33,96764
2-Apr-13,34.00,34.00,33.05,33.26,154716
28-Mar-13,33.70,34.20,33.30,34.03,117637
27-Mar-13,34.48,34.85,33.40,33.68,169405
26-Mar-13,31.89,34.56,31.83,34.19,318685
25-Mar-13,32.18,33.09,32.09,32.20,161814
22-Mar-13,32.02,32.04,31.02,31.65,162310
21-Mar-13,32.50,32.50,31.98,32.00,114755
20-Mar-13,32.70,32.89,32.32,32.74,144342
19-Mar-13,33.33,33.44,32.64,32.77,141570
18-Mar-13,31.80,33.66,31.52,33.46,157282
15-Mar-13,33.50,33.64,32.98,33.32,154144
14-Mar-13,32.60,33.33,32.57,33.33,161678
13-Mar-13,32.53,32.64,31.88,32.51,202939
12-Mar-13,33.20,34.00,32.38,32.60,235434
11-Mar-13,34.17,34.17,33.10,33.45,176510
8-Mar-13,34.87,35.00,33.86,34.10,108027
7-Mar-13,34.61,35.08,34.52,34.79,56201
6-Mar-13,35.20,35.30,34.32,34.40,157950
5-Mar-13,34.14,35.16,34.14,35.16,176100
4-Mar-13,34.18,34.42,33.62,33.84,109561
1-Mar-13,34.40,34.58,33.97,34.18,119318
28-Feb-13,34.48,34.60,34.22,34.33,134075
27-Feb-13,34.49,34.60,33.68,34.22,111478
26-Feb-13,33.60,34.53,33.03,34.31,173443
25-Feb-13,35.21,35.58,34.52,34.80,130106
22-Feb-13,35.19,35.60,34.80,34.99,161521
21-Feb-13,35.25,35.31,34.13,35.04,188617
20-Feb-13,34.98,35.44,34.91,35.40,169101
19-Feb-13,34.40,35.22,34.40,34.94,189039
18-Feb-13,34.86,34.94,33.74,34.48,170864
15-Feb-13,34.50,34.98,34.25,34.83,165349
14-Feb-13,33.28,34.80,33.24,34.33,458060
13-Feb-13,33.20,33.50,32.51,33.14,318329
12-Feb-13,31.70,33.27,31.44,33.17,338597
11-Feb-13,31.68,31.80,31.25,31.50,173279
8-Feb-13,31.70,31.74,31.37,31.69,140972
7-Feb-13,31.50,32.96,31.24,31.48,598257
6-Feb-13,29.49,31.68,28.68,31.63,1049102
5-Feb-13,30.00,30.25,29.54,30.00,222316
4-Feb-13,30.15,30.20,29.40,29.78,143122
1-Feb-13,28.63,30.05,28.63,29.85,214605
31-Jan-13,28.20,28.93,28.06,28.59,134862
30-Jan-13,28.02,28.17,27.76,27.93,64042
29-Jan-13,28.58,28.77,27.92,28.00,98346
28-Jan-13,28.85,29.10,28.45,28.68,122018
25-Jan-13,28.30,28.93,28.20,28.86,203233
24-Jan-13,28.22,28.58,28.21,28.54,103960
23-Jan-13,27.88,28.33,27.78,28.25,80493
22-Jan-13,27.74,27.86,27.28,27.72,64705
21-Jan-13,28.12,28.20,27.75,27.84,41510
18-Jan-13,28.26,28.30,27.88,28.01,87689
17-Jan-13,28.44,28.60,28.13,28.22,83269
16-Jan-13,27.90,28.50,27.80,28.44,98264
15-Jan-13,27.94,28.45,27.94,27.96,118179
14-Jan-13,27.60,28.22,27.48,28.18,129158
11-Jan-13,27.20,27.52,26.85,27.50,90598
10-Jan-13,27.82,27.82,26.46,27.16,221801
9-Jan-13,27.65,28.01,27.28,27.82,138529
8-Jan-13,28.20,28.40,27.72,28.06,106434
7-Jan-13,28.60,28.65,28.10,28.32,84419
4-Jan-13,28.82,28.90,28.51,28.58,65567
3-Jan-13,28.60,28.89,28.46,28.82,71101
2-Jan-13,28.12,28.80,27.91,28.60,113087
28-Dec-12,28.21,28.28,27.67,27.67,52687
27-Dec-12,28.02,28.66,28.02,28.28,63596
21-Dec-12,28.68,28.73,27.64,28.08,204727
20-Dec-12,28.89,29.01,28.60,28.88,86121
19-Dec-12,28.40,29.14,28.32,29.02,120949
18-Dec-12,28.51,28.84,28.05,28.27,220195
17-Dec-12,27.94,28.53,27.81,28.44,234362
14-Dec-12,27.00,27.78,26.48,27.70,186706
13-Dec-12,27.75,27.76,26.90,27.02,109988
12-Dec-12,27.95,28.10,27.54,27.63,89557
11-Dec-12,27.80,27.95,27.66,27.95,98386
10-Dec-12,27.46,27.80,27.28,27.77,114259
7-Dec-12,27.78,27.96,27.33,27.39,128973
6-Dec-12,26.93,27.88,26.91,27.75,241835
5-Dec-12,26.20,26.50,26.12,26.50,56784
4-Dec-12,26.40,26.40,26.00,26.10,66050
3-Dec-12,26.20,26.75,26.16,26.44,130731
30-Nov-12,26.06,26.20,25.91,26.12,69671
29-Nov-12,26.56,26.65,25.96,26.00,151392
28-Nov-12,26.20,26.43,25.85,26.34,114651
27-Nov-12,26.22,26.50,25.81,26.22,173925
26-Nov-12,25.50,26.15,25.30,26.00,162292
23-Nov-12,25.38,25.80,24.94,25.50,167130
22-Nov-12,24.40,25.27,24.40,25.25,174017
21-Nov-12,23.94,25.00,23.81,24.28,156665
20-Nov-12,23.76,24.04,23.50,24.04,99659
19-Nov-12,23.20,24.04,22.96,23.82,343642
16-Nov-12,22.80,23.20,22.75,23.01,133533
15-Nov-12,22.94,23.03,22.46,22.86,136178
14-Nov-12,23.17,23.24,22.98,23.00,54721
13-Nov-12,23.04,23.22,22.90,23.17,54042
12-Nov-12,23.22,23.30,22.86,23.16,53806
9-Nov-12,23.05,23.20,22.74,23.19,155234
8-Nov-12,22.60,23.64,22.56,23.00,272669
7-Nov-12,23.20,23.90,22.21,22.64,388151
6-Nov-12,22.80,22.85,22.22,22.48,126897
5-Nov-12,22.96,22.96,22.70,22.78,76516
2-Nov-12,22.95,23.14,22.93,23.03,91091
1-Nov-12,23.06,23.20,22.88,22.99,58343
31-Oct-12,23.60,23.60,22.74,23.13,139639
30-Oct-12,23.50,23.90,23.50,23.73,60627
29-Oct-12,23.66,23.67,23.14,23.38,69233
26-Oct-12,22.98,23.49,22.90,23.46,45705
25-Oct-12,22.86,23.39,22.79,23.01,71045
24-Oct-12,23.06,23.06,22.58,22.86,65503
23-Oct-12,24.01,24.25,22.54,22.94,135011
22-Oct-12,23.80,24.30,23.62,24.00,79042
19-Oct-12,23.84,23.96,23.47,23.74,77486
18-Oct-12,23.39,24.20,23.34,23.98,144966
17-Oct-12,24.30,24.36,22.95,23.55,347995
16-Oct-12,24.94,25.20,23.84,24.60,192923
15-Oct-12,24.41,24.90,24.29,24.72,101011
12-Oct-12,23.94,24.65,23.90,24.44,139500
11-Oct-12,23.59,24.12,23.58,24.00,77866
10-Oct-12,23.73,23.90,23.59,23.71,62442
9-Oct-12,24.12,24.24,23.62,23.80,113644
8-Oct-12,23.98,24.20,23.53,24.00,133310
5-Oct-12,23.50,24.24,23.40,23.96,143098
4-Oct-12,23.08,23.50,22.76,23.43,145433
3-Oct-12,22.98,23.20,22.80,22.92,99743
2-Oct-12,22.95,23.00,22.66,22.98,115359
1-Oct-12,22.40,22.92,22.30,22.92,98963
28-Sep-12,22.30,22.40,22.06,22.40,65188
27-Sep-12,22.40,22.42,22.02,22.30,56550
26-Sep-12,22.40,22.50,21.95,22.38,164181
25-Sep-12,22.21,22.65,22.13,22.55,121944
24-Sep-12,22.20,22.60,22.06,22.26,143961
21-Sep-12,22.32,22.40,22.11,22.20,370579
20-Sep-12,22.38,22.38,22.04,22.26,81209
19-Sep-12,22.40,22.40,22.03,22.30,112663
18-Sep-12,22.10,22.23,21.75,22.21,131287
17-Sep-12,21.93,22.20,21.78,22.04,136902
14-Sep-12,22.39,22.42,22.09,22.11,197519
13-Sep-12,22.50,22.56,22.06,22.20,183683
12-Sep-12,21.78,22.64,21.72,22.60,284986
11-Sep-12,20.84,21.78,20.68,21.66,178584
