Date,Open,High,Low,Close,Volume
16-May-13,80.75,80.97,80.13,80.74,9356
15-May-13,81.30,81.46,80.80,81.10,9756
14-May-13,81.75,81.88,80.63,81.34,7410
13-May-13,81.32,82.00,81.32,81.67,9842
10-May-13,81.10,82.16,81.10,81.51,13905
9-May-13,81.00,81.68,80.95,81.40,3389
8-May-13,80.20,81.00,79.80,81.00,11446
7-May-13,80.02,80.65,79.68,80.53,8988
6-May-13,80.55,80.64,79.78,80.25,10361
3-May-13,79.70,80.70,78.87,80.55,11629
2-May-13,78.00,80.80,77.80,79.98,21562
30-Apr-13,79.62,80.03,79.05,79.20,8004
29-Apr-13,78.80,79.61,78.42,79.60,6797
26-Apr-13,79.95,79.95,78.44,78.80,5699
25-Apr-13,79.10,80.03,79.10,79.76,3680
24-Apr-13,78.26,79.41,77.76,79.30,6490
23-Apr-13,76.15,78.28,75.99,77.90,4865
22-Apr-13,76.59,76.65,75.60,76.54,8060
19-Apr-13,77.50,77.60,75.88,76.00,8759
18-Apr-13,78.30,78.35,76.79,77.10,4847
17-Apr-13,79.35,79.62,77.20,77.98,17745
16-Apr-13,79.00,79.50,78.64,79.10,10805
15-Apr-13,79.30,80.18,78.48,79.14,16344
12-Apr-13,82.00,82.10,80.61,80.62,7491
11-Apr-13,82.00,82.77,81.56,82.50,12079
10-Apr-13,81.00,82.40,80.90,82.01,19928
9-Apr-13,81.60,81.94,80.31,80.98,9764
8-Apr-13,81.53,81.95,80.91,81.20,11011
5-Apr-13,83.40,83.48,81.00,81.35,20949
4-Apr-13,83.90,84.58,83.25,83.25,8605
3-Apr-13,85.65,85.89,83.90,83.95,12438
2-Apr-13,84.15,86.00,83.91,85.75,11146
28-Mar-13,84.20,84.45,83.75,83.91,16470
27-Mar-13,85.50,85.50,84.13,84.35,8868
26-Mar-13,86.50,86.97,85.24,85.40,8857
25-Mar-13,86.86,87.96,86.00,86.40,22247
22-Mar-13,86.40,87.26,86.20,86.50,15020
21-Mar-13,86.15,88.00,86.15,86.75,28170
20-Mar-13,84.50,86.85,84.32,86.70,33679
19-Mar-13,83.68,84.99,83.68,84.48,25873
18-Mar-13,82.12,84.24,82.00,83.87,16285
15-Mar-13,83.75,84.15,83.15,83.20,19564
14-Mar-13,83.26,83.90,83.14,83.60,18101
13-Mar-13,82.58,83.24,82.39,83.20,10339
12-Mar-13,83.07,83.08,82.40,82.70,16209
11-Mar-13,82.96,83.56,82.90,83.25,14647
8-Mar-13,82.50,83.50,82.50,82.91,38695
7-Mar-13,81.90,82.31,81.42,81.90,8653
6-Mar-13,80.93,82.48,80.93,81.90,19725
5-Mar-13,79.91,81.35,79.86,80.85,18251
4-Mar-13,79.00,79.56,78.95,79.50,7164
1-Mar-13,79.62,79.90,78.98,79.40,7227
28-Feb-13,79.35,79.80,79.20,79.80,8127
27-Feb-13,78.25,79.09,78.20,79.00,8508
26-Feb-13,78.15,78.72,77.90,78.20,12495
25-Feb-13,78.45,80.51,78.45,78.58,20854
22-Feb-13,77.58,78.38,77.36,78.35,8837
21-Feb-13,78.10,78.22,77.01,77.21,10583
20-Feb-13,78.80,79.30,78.50,78.50,7604
19-Feb-13,77.94,79.12,77.69,78.77,4030
18-Feb-13,78.15,78.24,77.76,77.80,5172
15-Feb-13,78.70,78.73,77.97,77.97,4155
14-Feb-13,78.65,78.94,77.99,78.68,6564
13-Feb-13,77.78,79.17,77.72,78.75,12323
12-Feb-13,77.10,77.92,76.88,77.85,6919
11-Feb-13,77.05,77.30,76.57,77.05,7271
8-Feb-13,77.28,77.40,76.36,77.06,6243
7-Feb-13,77.15,77.51,76.70,77.15,9600
6-Feb-13,77.95,78.21,76.86,76.93,11672
5-Feb-13,77.30,78.00,77.30,77.88,13646
4-Feb-13,79.78,80.01,77.01,77.20,20147
1-Feb-13,80.70,81.01,79.69,80.24,19308
31-Jan-13,81.18,81.50,80.50,80.70,10745
30-Jan-13,81.55,81.95,81.00,81.28,7740
29-Jan-13,81.40,81.84,81.25,81.25,8056
28-Jan-13,82.05,82.45,81.24,81.45,11552
25-Jan-13,81.10,82.16,81.00,81.50,17863
24-Jan-13,80.40,81.45,80.16,80.90,23884
23-Jan-13,83.80,83.84,82.60,83.84,23071
22-Jan-13,83.80,84.70,83.30,84.00,16717
21-Jan-13,83.25,83.75,83.15,83.75,15289
18-Jan-13,82.98,83.40,82.50,82.97,13003
17-Jan-13,82.75,83.33,82.40,82.98,8459
16-Jan-13,83.24,83.24,82.58,83.10,11294
15-Jan-13,83.20,83.63,82.97,83.38,11323
14-Jan-13,84.10,84.17,82.90,83.48,17067
11-Jan-13,83.65,84.04,83.42,83.70,12015
10-Jan-13,83.55,83.79,82.99,83.60,11540
9-Jan-13,83.10,83.58,83.04,83.35,9461
8-Jan-13,83.48,83.54,82.80,83.00,14775
7-Jan-13,83.85,84.02,83.33,83.50,17335
4-Jan-13,83.70,84.03,83.52,83.86,14586
3-Jan-13,83.68,84.22,83.49,83.94,16130
2-Jan-13,83.20,84.11,82.93,83.75,21588
28-Dec-12,82.45,82.64,82.00,82.06,4804
27-Dec-12,82.10,83.16,81.90,82.45,12218
21-Dec-12,82.30,82.81,82.11,82.25,13809
20-Dec-12,82.63,83.23,82.62,83.15,11235
19-Dec-12,82.71,83.44,82.66,82.84,14514
18-Dec-12,82.39,82.99,82.34,82.70,13001
17-Dec-12,82.00,82.51,81.88,82.15,13519
14-Dec-12,81.80,82.50,81.70,81.90,13251
13-Dec-12,81.85,82.41,81.85,81.85,10650
12-Dec-12,82.04,82.49,81.85,82.05,15498
11-Dec-12,80.80,82.28,80.70,82.01,16808
10-Dec-12,80.50,81.00,80.22,80.80,18810
7-Dec-12,80.50,81.01,79.82,80.55,10802
6-Dec-12,80.00,80.75,79.85,80.30,21411
5-Dec-12,80.00,80.15,79.41,80.15,7255
4-Dec-12,79.17,80.02,79.02,79.50,6149
3-Dec-12,79.50,80.09,79.38,79.50,14461
30-Nov-12,79.01,79.73,79.01,79.35,5576
29-Nov-12,79.35,79.64,78.90,79.15,16504
28-Nov-12,78.20,79.35,77.90,79.35,8536
27-Nov-12,78.22,78.70,78.22,78.60,7401
26-Nov-12,78.10,78.25,77.47,78.10,9489
23-Nov-12,78.00,78.31,77.48,78.20,14551
22-Nov-12,77.55,78.00,77.32,78.00,12151
21-Nov-12,77.35,77.81,77.20,77.49,15765
