Date,Open,High,Low,Close,Volume
16-May-13,154.55,155.45,153.55,155.45,81193
15-May-13,153.25,155.05,152.90,154.90,72037
14-May-13,150.75,153.15,149.10,152.95,112229
13-May-13,150.75,150.75,148.00,150.35,86344
10-May-13,152.35,153.55,150.05,150.40,67225
9-May-13,151.25,152.20,150.00,151.65,65097
8-May-13,149.95,152.15,149.95,150.70,142383
7-May-13,151.90,151.90,149.40,149.40,134393
6-May-13,151.60,152.10,150.25,150.55,67843
3-May-13,148.90,151.75,146.40,151.25,115904
2-May-13,147.50,147.50,144.50,146.15,123560
30-Apr-13,147.05,148.80,146.75,147.60,104965
29-Apr-13,142.20,147.25,142.20,145.90,124562
26-Apr-13,144.00,145.05,141.25,142.20,125405
25-Apr-13,145.60,147.00,143.00,147.00,137880
24-Apr-13,141.75,145.75,140.20,145.20,149442
23-Apr-13,137.40,141.00,134.50,141.00,145149
22-Apr-13,137.70,138.10,135.10,137.15,136326
19-Apr-13,133.25,136.25,133.05,136.25,98129
18-Apr-13,135.10,135.25,131.30,132.60,147021
17-Apr-13,139.30,139.55,133.95,134.95,171635
16-Apr-13,137.70,140.40,137.20,139.45,103710
15-Apr-13,141.00,141.30,137.00,138.45,94325
12-Apr-13,144.25,145.60,139.40,140.40,142298
11-Apr-13,144.60,145.65,142.95,145.55,115238
10-Apr-13,143.80,145.55,143.35,143.90,110986
9-Apr-13,147.60,148.25,142.60,143.80,120137
8-Apr-13,146.00,147.45,144.95,147.15,69857
5-Apr-13,148.10,148.10,144.40,145.50,71502
4-Apr-13,148.40,149.80,146.90,147.35,60264
3-Apr-13,148.90,149.75,147.90,148.85,84302
2-Apr-13,148.05,149.20,147.55,148.15,74484
28-Mar-13,148.10,149.30,146.75,146.75,84779
27-Mar-13,149.35,149.60,145.75,147.90,65591
26-Mar-13,148.30,149.30,148.10,148.10,81730
25-Mar-13,151.00,151.45,147.60,147.85,87612
22-Mar-13,147.70,150.45,147.05,148.90,99240
21-Mar-13,147.95,148.50,145.35,147.75,141382
20-Mar-13,151.00,152.30,148.65,149.00,111617
19-Mar-13,151.90,152.30,149.85,150.55,93496
18-Mar-13,150.10,152.75,149.70,151.80,126903
15-Mar-13,152.85,154.70,150.30,151.55,242081
14-Mar-13,159.95,161.45,153.20,155.90,180390
13-Mar-13,157.70,159.55,156.65,159.55,88852
12-Mar-13,159.85,160.50,157.30,157.40,72272
11-Mar-13,159.70,160.60,158.50,159.60,67344
8-Mar-13,161.80,162.05,160.00,160.00,71532
7-Mar-13,159.55,161.70,158.65,160.35,94776
6-Mar-13,157.90,159.75,157.80,158.50,71563
5-Mar-13,154.10,157.45,154.10,156.95,89106
4-Mar-13,154.00,154.55,152.40,152.80,60712
1-Mar-13,158.30,158.30,152.15,154.65,124882
28-Feb-13,158.00,158.90,156.65,157.85,92502
27-Feb-13,153.60,157.25,152.35,156.75,84836
26-Feb-13,151.60,154.90,150.80,152.95,113562
25-Feb-13,158.95,159.25,153.60,153.60,398011
22-Feb-13,168.05,168.40,156.10,156.80,263678
21-Feb-13,169.35,169.35,166.05,167.05,57686
20-Feb-13,170.90,171.90,169.95,170.55,61012
19-Feb-13,167.00,171.00,166.00,169.90,69266
18-Feb-13,167.00,167.75,166.00,167.15,23088
15-Feb-13,167.80,168.20,166.50,167.35,41079
14-Feb-13,170.00,170.35,167.55,167.55,65316
13-Feb-13,169.85,171.70,168.80,170.15,46891
12-Feb-13,167.70,169.05,166.40,169.05,61600
11-Feb-13,170.10,170.15,167.00,167.80,46936
8-Feb-13,165.70,169.80,164.75,169.20,50258
7-Feb-13,165.75,167.75,164.70,165.55,62156
